Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Belgium,12545,14532,15522,16227,11582,12165,11256,12601,13442,12322
Denmark,71,498,453,536,357,722,686,863,804,734
France,22843,24054,25270,27021,21531,23227,22094,22841,23360,23176
West Germany,40313,43705,49521,33232,2,42413,38984,41253,46040,43838
Ireland,0,77,116,110,81,58,4,6,72,2
Italy,17452,19613,20995,238046,21865,23455,23335,24283,24250,26521
Luxembourg,000,241,457,924,6447,4624,4565,4329,4790,4618
Netherlands,000,083,623,5837,4817,3178,4923,3583,5806,264
United Kingdom,24219,25431,26667,22384,19773,22335,20467,20367,21523,11342
Austria,3760,4069,4238,469,4069,4476,4093,8335,4917,4623
Finland,1025,1456,16185,1656,1616,1449,2196,2333,2464,2508
Greece,875,675,1087,926,666,715,759,936,1000,1200
Norway,000,000,883,916,963,91,86,704,797,862
Portugal,000,12,825,399,44,461,49,625,670,659
Spain,8025,9526,10800,119502,11102,10982,11169,11339,12248,12672
Sweden,271,257,5663,5988,5611,139,3968,4325,4733,4237
Switzerland,7,32,000,000,92,420,656,784,886,929
Turkey,1235,1557,1354,1590,1703,1972,1902,2172,2396,2536
Yugoslavia,2453,2588,2676,2836,2916,2751,3182,3456,3535,3634
Western Europe,152418,166164,179572,186699,154679,163674,155299,163752,173986,161677
Bulgaria,1948,2121,2246,2188,2265,2460,2589,2470,2482,2567
Czechoslovakia,12069,12728,13158,13640,14324,14693,15054,15294,14617,14925
East Germany,7,74,6065,1465,640,6740,6850,6976,7024,7308
Hungary,3110,3273,3332,3468,3673,3652,3723,3877,3907,3767
Poland,12688,13424,14057,14556,15007,15640,17841,19250,19218,1948
Romania,7,6803,7401,8161,9549,10970,11457,11779,12909,13175
USSR,120637,125589,131481,136200,141325,1449805,146655,151436,149087,147931
Canada,11040,11863,13388,13623,13025,13290,13631,14899,16054,15901
United States,109264,120874,136802,132195,105816,116120,113700,124313,123276,101696
Argentina,191,2151,2205,2353,2208,2410,2684,2782,3199,2682
Brazil,997,6518,7150,7515,8387,9253,11253,12205,13893,15309
Chile,000,000,631,634,508,503,559,616,642,74
Colombia,325,373,362,311,3970,370,330,390,361,402
Cuba,160,185,220,240,300,296,302,300,300,300
Mexico,3821,4431,4760,138,272,5298,5601,6711,7005,7099
Peru,000,179,181,356,461,431,379,377,436,476
Uruguay,15,13,12,14,16,16,19,9,14,17
Venezuela,924,1128,1063,1041,1063,936,803,860,1506,1820
Algeria,26,98,195,173,221,356,410,580,17,34
Tunisia,90,133,140,132,130,102,157,150,150,178
South Africa,4881,5337,722,3839,6831,7106,7298,7902,887,9068
Zimbabwe,000,439,462,4,24,733,734,778,740,05
Egypt,46,7,450,450,25,500,300,90,60,300
Iran,7,000,000,240,67,51,1825,1300,1430,1200
Israel,7,465,6,5,7,60,70,72,107,215
Qatar,7,000,000,000,000,000,000,127,396,396
China,21000,23000,26000,26000,26000,21000,23700,31780,34480,37040
Hong Kong,105,110,115,120,120,120,120,120,120,120
India,101,6856,6887,7068,7991,364,10009,10099,10126,9514
Indonesia,000,10,30,50,0,100,139,250,225,30
Japan,7,96900,119322,117131,102313,107399,102405,102105,111748,111395
Malaysia,160,137,180,182,183,190,194,293,207,210
North Korea,7,23460,2500,29700,3200,2700,3000,00,400,800
Philippines,136,173,216,237,316,357,364,276,397,400
Singapore,130,198,211,194,188,194,206,280,297,340
South Korea,000,472,56,1157,1947,1994,3515,4347,4969,7610
Taiwan,000,470,335,901,1010,1628,1770,3432,4250,4225
Thailand,7,170,2983,324,326,251,281,309,440,450
Australia,6753,6751,7499,7813,7869,794,7338,9,19,7589
New Zealand,144,157,190,19,185,222,218,225,229,230
Western Europe,152418,166164,179572,1864699,154679,163674,155299,163752,173986,161577