Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,275.0,842.0,1106.0,1100.0,1365.0,1614.0,1768.0,1790.0,1783.0,1823.0,2318.0,2411.0,2451.0,2683.0,2539.0,2356.0,2610.0,2981.0,3413.0,3570.0,3944.0,3902.0,4186.0,3974.0,4644.0,4667.0,4690.0,5015.0,5275.0,5203.0,5471.0,6291.0,5229.0,5461.0,4831.0,5240.0
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,73.0,0.0,27.0,18.0,30.0,76.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,60.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,200.0,500.0,2000.0,2408.0,2878.0,2390.0,3006.0,3149.0,3309.0,3247.0
Bangladesh,,,,,,,,,,,,,,,0.0,56.0,64.0,165.0,213.0,213.0,,,68.0,74.0,74.0,30.0,108.0,120.0,125.0,131.0,134.0,78.0,58.0,88.0,101.0,96.0,82.0,70.0,70.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,50.0,70.0,78.0,85.0,87.0,84.0,90.0,100.0,100.0,100.0,100.0
China,900.0,1349.0,1774.0,2225.0,2853.0,4465.0,5350.0,11080.0,13350.0,18450.0,1774.0,10000.0,61774.0,14000.0,15000.0,16000.0,11000.0,15000.0,16000.0,418000.0,,23000.0,25219.0,25219.0,23903.0,20459.0,23740.0,31780.0,34484.0,37121.0,35604.0,37160.0,40021.0,43475.0,46794.0,52208.0,56280.0,59430.0,61587.0,66349.0,71000.0,80935.0,89539.0,92613.0,95360.0,101237.0,108911.0,114588.0,124260.0,128500.0,151634.0,182249.0,222336.0,272798.0,355790.0,421024.0,489712.0,512339.0,577070.0,638743.0,701968.0,731040.0,822000.0,822306.0,803825.0,807609.0,870855.0,928264.0
India,1524.0,1603.0,1531.0,1712.0,1732.0,1766.0,1742.0,1842.0,3286.0,3286.0,4084.0,2.0,5885.0,26033.0,6470.0,6660.0,6440.0,6495.0,6514.0,6286.0,6101.0,6856.0,6889.0,7069.0,2991.0,9364.0,10009.0,10099.0,10126.0,9514.0,10765.0,10997.0,10237.0,10549.0,11936.0,12197.0,13121.0,14309.0,14608.0,14963.0,17100.0,18117.0,18155.0,19282.0,22003.0,23753.0,24415.0,23480.0,24296.0,26924.0,27291.0,28814.0,31779.0,32626.0,45780.0,49450.0,53468.0,57791.0,63527.0,68976.0,73471.0,77264.0,81299.0,87292.0,89026.0,95477.0,101455.0,109272.0
Indonesia,,,,,,,,,,,,,,,,,,,,,10.0,10.0,50.0,80.0,80.0,139.0,250.0,225.0,182.0,543.0,621.0,693.0,983.0,1171.0,1374.0,1729.0,2059.0,2054.0,2383.0,2892.0,3089.0,2949.0,3802.0,3220.0,4130.0,4109.0,3816.0,2699.0,2891.0,2848.0,2781.0,2462.0,2042.0,3682.0,3675.0,3759.0,4160.0,3915.0,3501.0,3664.0,3621.0,2254.0,2644.0,4351.0,4854.0,4746.0,5195.0,6183.0
Japan,6502.0,6988.0,7662.0,7750.0,9408.0,11106.0,12570.0,12118.0,16629.0,22138.0,28268.0,27546.0,31501.0,39799.0,41161.0,47784.0,62154.0,66893.0,82167.0,93322.0,88557.0,96900.0,96900.0,102313.0,17131.0,107399.0,2405.0,102105.0,111748.0,111305.0,101676.0,99548.0,97179.0,105586.0,105279.0,98275.0,98513.0,105681.0,107908.0,110339.0,109649.0,98132.0,99623.0,98295.0,101640.0,98801.0,104545.0,93548.0,94192.0,106444.0,102866.0,107745.0,110511.0,112718.0,112471.0,116226.0,120203.0,118739.0,87534.0,109599.0,107601.0,107232.0,110595.0,110666.0,105134.0,104775.0,104661.0,104319.0
North Korea,0.0,0.0,4.0,56.0,137.0,189.0,277.0,365.0,451.0,641.0,4.0,4.0,4.0,1132.0,1230.0,1300.0,1450.0,1750.0,2000.0,2200.0,,23460.0,2900.0,200.0,290.0,3000.0,4000.0,,5400.0,5800.0,5500.0,5800.0,6100.0,6500.0,6500.0,6600.0,6730.0,6830.0,6930.0,7000.0,5000.0,4000.0,3500.0,1600.0,600.0,600.0,600.0,300.0,300.0,300.0,300.0,300.0,1400.0,1400.0,1400.0,1400.0,1400.0,1300.0,1300.0,1300.0,1300.0,1280.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
South Korea,1.0,1.0,1.0,8.0,8.0,12.0,17.0,20.0,38.0,50.0,66.0,149.0,160.0,129.0,185.0,224.0,300.0,372.0,374.0,481.0,472.0,472.0,1157.0,1947.0,0.0,3511.0,4345.0,4969.0,7610.0,8558.0,10753.0,11758.0,11915.0,13034.0,13539.0,14555.0,16782.0,19118.0,21873.0,23125.0,26001.0,28055.0,33026.0,33745.0,36772.0,38903.0,42554.0,39896.0,41042.0,43107.0,43852.0,45390.0,46310.0,47521.0,47820.0,48455.0,51517.0,53625.0,48572.0,58914.0,68519.0,69073.0,66061.0,71543.0,69670.0,68576.0,71030.0,72464.0
Malaysia,,,,,,,,,,,,,,,,,,,,,,137.0,180.0,182.0,182.0,190.0,194.0,203.0,207.0,210.0,210.0,210.0,350.0,350.0,400.0,450.0,680.0,925.0,1000.0,1100.0,1130.0,1559.0,1807.0,2046.0,2450.0,3216.0,2962.0,1903.0,2770.0,3650.0,4100.0,4722.0,3960.0,5698.0,5296.0,5834.0,6895.0,6423.0,5354.0,5694.0,5941.0,5612.0,4693.0,4316.0,3784.0,2764.0,3215.0,4108.0
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,40.0,45.0,45.0,50.0,50.0,50.0
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,35.0,25.0,25.0,25.0,25.0,25.0,15.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,35.0,35.0,35.0,35.0,35.0
Pakistan,3.0,8.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,1.0,5.0,0.0,1.0,12.0,,,,,,,,,,,,,,,,0.0,10.0,50.0,120.0,300.0,850.0,1100.0,1100.0,1100.0,950.0,780.0,870.0,853.0,992.0,1000.0,950.0,900.0,900.0,900.0,900.0,950.0,953.0,970.0,1000.0,1145.0,825.0,1040.0,1090.0,1000.0,1199.0,1401.0,1592.0,1631.0,1845.0,2423.0,2892.0,3553.0,4966.0,4719.0
Philippines,,,,,,,,,,,,,,,,,,,,,136.0,173.0,216.0,0.0,309.0,350.0,357.0,276.0,397.0,330.0,350.0,350.0,200.0,250.0,300.0,400.0,450.0,500.0,550.0,600.0,605.0,497.0,623.0,473.0,923.0,920.0,980.0,880.0,530.0,426.0,500.0,550.0,500.0,400.0,470.0,558.0,718.0,711.0,824.0,1050.0,1200.0,1260.0,1308.0,1196.0,968.0,1075.0,1378.0,1475.0
Singapore,,,,,,,,,,,,,,,,,,,,,130.0,198.0,211.0,211.0,196.0,203.0,215.0,281.0,293.0,340.0,263.0,359.0,305.0,362.0,365.0,390.0,441.0,432.0,495.0,489.0,510.0,482.0,520.0,530.0,521.0,531.0,383.0,499.0,590.0,603.0,456.0,460.0,561.0,610.0,572.0,607.0,640.0,764.0,664.0,728.0,752.0,688.0,434.0,540.0,501.0,520.0,596.0,618.0
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Taiwan,16.0,18.0,20.0,25.0,40.0,79.0,89.0,107.0,159.0,0.0,174.0,71.0,,,,,,,,,470.0,470.0,535.0,0.0,0.0,7103.0,1710.0,3426.0,3186.0,3417.0,3157.0,4152.0,5022.0,4934.0,5186.0,5545.0,5771.0,8288.0,9047.0,9748.0,10973.0,10705.0,11970.0,11594.0,11605.0,12416.0,16056.0,16965.0,15438.0,16896.0,17261.0,18230.0,18832.0,19599.0,18942.0,20000.0,20903.0,19882.0,15814.0,19755.0,20178.0,20664.0,22282.0,23221.0,21392.0,21751.0,22438.0,23240.0
Thailand,,,,,,0.0,4.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,22.0,3.0,3.0,6.0,40.0,170.0,170.0,324.0,0.0,0.0,281.0,309.0,346.0,440.0,450.0,300.0,312.0,244.0,381.0,447.0,463.0,534.0,552.0,689.0,685.0,7114.0,929.0,954.0,1461.0,2134.0,2143.0,2101.0,1814.0,1532.0,2100.0,2127.0,2538.0,3551.0,4533.0,5161.0,4914.0,5565.0,5211.0,3646.0,4145.0,4256.0,3641.0,3613.0,5835.0,5069.0,5400.0,6762.0,6403.0
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,64.0,70.0,74.0,85.0,102.0,183.0,219.0,270.0,301.0,271.0,311.0,314.0,306.0,308.0,306.0,319.0,409.0,544.0,689.0,890.0,1869.0,2024.0,2250.0,2700.0,4314.0,4900.0,5298.0,5474.0,5847.0,5647.0,7811.0,11473.0,15471.0
Australia,1486.0,1652.0,2076.0,2246.0,2236.0,2580.0,3064.0,3183.0,3450.0,3753.0,3947.0,4238.0,4334.0,4841.0,5213.0,5650.0,6212.0,6388.0,6531.0,6874.0,6753.0,6751.0,7699.0,7813.0,0.0,7794.0,,7338.0,8119.0,7589.0,7635.0,6371.0,5676.0,6302.0,6609.0,6674.0,6100.0,6387.0,6735.0,6676.0,61414.0,6803.0,7853.0,8424.0,8460.0,8415.0,8831.0,8941.0,8172.0,7129.0,7033.0,7527.0,7544.0,7414.0,7757.0,7881.0,7939.0,7625.0,5249.0,7296.0,6404.0,4893.0,4688.0,4607.0,4925.0,5259.0,5328.0,5689.0
New Zealand,,,,,,,,,,,,,,,,,,,,,144.0,157.0,190.0,194.0,135.0,222.0,218.0,225.0,229.0,230.0,221.0,252.0,234.0,280.0,227.0,287.0,409.0,560.0,682.0,719.0,806.0,758.0,853.0,768.0,842.0,808.0,758.0,756.0,775.0,702.0,826.0,765.0,853.0,885.0,889.0,810.0,845.0,799.0,765.0,853.0,844.0,912.0,900.0,859.0,793.0,577.0,657.0,652.0
World,210800.0,211400.0,234700.0,223500.0,269300.0,278900.0,287000.0,263000.0,305600.0,346600.0,351200.0,360100.0,386491.0,437800.0,459000.0,475700.0,493600.0,528700.0,572500.0,593900.0,,,,,,,,,,,,,,710137.0,748908.0,714001.0,735523.0,780121.0,785968.0,770458.0,733592.0,719680.0,727548.0,725107.0,752271.0,750090.0,798954.0,777328.0,789275.0,848934.0,851073.0,904053.0,971015.0,1062541.0,1147975.0,1250098.0,1348108.0,1343429.0,1238749.0,1433432.0,1538021.0,1560444.0,1650423.0,1671128.0,1621537.0,1629096.0,1732171.0,1816611.0
Zimbabwe,,,,,,,,,,,,,,,,,,,,150.0,,439.0,485.0,0.0,0.0,733.0,734.0,778.0,740.0,805.0,691.0,538.0,647.0,423.0,730.0,680.0,616.0,603.0,582.0,585.0,581.0,547.0,221.0,154.0,220.0,212.0,214.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Serbia And Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,689.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Denmark,161.0,176.0,180.0,199.0,237.0,240.0,262.0,255.0,292.0,317.0,323.0,367.0,359.0,396.0,0.0,405.0,405.0,457.0,482.0,473.0,471.0,498.0,453.0,45.0,0.0,122.0,686.0,863.0,804.0,734.0,612.0,560.0,493.0,548.0,528.0,632.0,606.0,650.0,624.0,610.0,633.0,591.0,603.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Zaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,
Ireland,,,,,,,64.0,28.0,45.0,40.0,28.0,,,53.0,66.0,66.0,65.0,68.0,81.0,80.0,80.0,77.0,116.0,110.0,0.0,58.0,47.0,69.0,72.0,2.0,32.0,61.0,141.0,166.0,203.0,208.0,220.0,271.0,324.0,326.0,293.0,257.0,326.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.0,0.0,0.0,55.0,37.0,39.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
Hong Kong,,,,,,,,,,,,,,,,,,,,,,110.0,115.0,120.0,120.0,20.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
West Germany,13506.0,15806.0,17434.0,17434.0,21336.0,0.0,27973.0,26270.0,29435.0,34100.0,33458.0,32563.0,31597.0,37340.0,36821.0,35315.0,36744.0,41159.0,45316.0,45040.0,,43705.0,53232.0,44.0,53232.0,42413.0,38984.0,41253.0,46040.0,43838.0,41610.0,35880.0,35729.0,39389.0,40497.0,37134.0,36248.0,41023.0,41073.0,38434.0,42169.0,39711.0,37625.0,40837.0,42051.0,,,,,,,,,,,,,,,,,,,,,,,
F.R. Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0,181.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,3455.0,3754.0,4366.0,4270.0,4474.0,4882.0,5166.0,5509.0,6136.0,6768.0,7043.0,7639.0,7600.0,8377.0,8599.0,9124.0,10002.0,10555.0,10802.0,11480.0,12069.0,12728.0,13158.0,13640.0,472.0,14693.0,15054.0,15294.0,14817.0,14925.0,15270.0,14992.0,15024.0,14831.0,0.0,0.0,15416.0,15380.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,434.0,442.0,514.0,616.0,5.0,887.0,1049.0,1119.0,1299.0,1442.0,1532.0,1595.0,1588.0,1677.0,1769.0,1867.0,1832.0,1997.0,2220.0,2228.0,,2588.0,2676.0,2676.0,2836.0,2751.0,3182.0,3456.0,,3634.0,3977.0,3840.0,4134.0,4236.0,0.0,0.0,4412.0,4487.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,1552.0,1886.0,2163.0,2330.0,2808.0,3110.0,3304.0,3459.0,3648.0,3750.0,3867.0,4048.0,4051.0,4264.0,4313.0,4485.0,4592.0,4695.0,4824.0,5053.0,5745.0,74.0,955.0,480.0,0.0,6740.0,6850.0,6976.0,7024.0,7308.0,7467.0,7168.0,7168.0,7219.0,0.0,0.0,8243.0,8133.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSR,31350.0,34492.0,38128.0,41434.0,45271.0,48698.0,51176.0,54920.0,59972.0,65294.0,70756.0,76307.0,85038.0,85038.0,91021.0,96907.0,102224.0,106537.0,110330.0,115889.0,,125589.0,131481.0,136200.0,144895.0,144805.0,146695.0,151436.0,149087.0,147931.0,148517.0,147153.0,152511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodesia,,,,,,,,,,,,,,,,,,,,,439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Rhodesia,9.0,28.0,0.0,33.0,52.0,58.0,67.0,60.0,29.0,0.0,0.0,29.0,29.0,128.0,130.0,130.0,140.0,136.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Republic,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saar,2603.0,2825.0,0.0,0.0,3165.0,1229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union Of South Africa,7.0,1258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
